time_us,x_g,y_g,z_g,time_ms
1312524,0.0312,0.0429,0.9165,1312.524
1315018,0.0351,0.0468,0.9087,1315.018
1317525,0.0429,0.0429,0.9087,1317.525
1320016,0.0351,0.0507,0.9165,1320.016
1322530,0.0312,0.0507,0.9048,1322.53
1325012,0.0351,0.0429,0.9048,1325.012
1327519,0.0273,0.0546,0.9048,1327.519
1330007,0.039,0.0546,0.9048,1330.007
1332506,0.0312,0.0507,0.9126,1332.506
1335022,0.0273,0.0546,0.9048,1335.022
1337505,0.039,0.0429,0.9048,1337.505
1340016,0.0351,0.0468,0.9087,1340.016
1342540,0.039,0.0507,0.9087,1342.54
1345016,0.0351,0.0429,0.897,1345.016
1347525,0.039,0.0468,0.9048,1347.525
1350017,0.0351,0.0546,0.897,1350.017
1352515,0.0351,0.0468,0.9087,1352.515
1355005,0.0351,0.0468,0.9126,1355.005
1357525,0.0312,0.0507,0.9087,1357.525
1360023,0.0351,0.0507,0.9165,1360.023
1362503,0.0351,0.0546,0.9048,1362.503
1365007,0.0273,0.0468,0.9009,1365.007
1367504,0.0312,0.0468,0.9048,1367.504
1370003,0.0234,0.0468,0.9126,1370.003
1372534,0.0429,0.0429,0.9048,1372.534
1375012,0.0351,0.0546,0.9048,1375.012
1377519,0.0429,0.0468,0.9048,1377.519
1380006,0.0234,0.0546,0.9087,1380.006
1382520,0.0312,0.0507,0.9165,1382.52
1385001,0.0273,0.0507,0.9048,1385.001
1387506,0.0312,0.0468,0.9204,1387.506
1390017,0.0312,0.0585,0.9126,1390.017
1392524,0.0312,0.0429,0.9087,1392.524
1395002,0.0312,0.0429,0.9087,1395.002
1397518,0.0351,0.0468,0.9087,1397.518
1400010,0.0351,0.0546,0.9048,1400.01
1402506,0.0351,0.0507,0.9009,1402.506
1405027,0.039,0.0468,0.9087,1405.027
1407521,0.0351,0.0468,0.9087,1407.521
1410018,0.0273,0.0507,0.9087,1410.018
1412524,0.0351,0.0507,0.9048,1412.524
1415012,0.0273,0.0702,0.9165,1415.012
1417519,0.0351,0.0468,0.9048,1417.519
1420010,0.0273,0.0507,0.9165,1420.01
1422516,0.0312,0.0507,0.9009,1422.516
1425014,0.0234,0.0624,0.9048,1425.014
1427522,0.0273,0.0585,0.9087,1427.522
1430013,0.0234,0.0507,0.9048,1430.013
1432524,0.0351,0.0507,0.9048,1432.524
1435013,0.0312,0.0546,0.9126,1435.013
1437721,0.0273,0.0429,0.9009,1437.721
1440015,0.039,0.0429,0.9087,1440.015
1442532,0.0312,0.0585,0.9009,1442.532
1445006,0.0312,0.0468,0.9048,1445.006
1447505,0.0351,0.039,0.9048,1447.505
1450016,0.0351,0.0429,0.9126,1450.016
1452517,0.0312,0.0468,0.897,1452.517
1455012,0.0273,0.0468,0.9048,1455.012
1457531,0.0273,0.0468,0.9087,1457.531
1460021,0.0351,0.0429,0.9126,1460.021
1462533,0.039,0.0468,0.9087,1462.533
1465013,0.0273,0.0507,0.9126,1465.013
1467518,0.0351,0.0507,0.9009,1467.518
1470011,0.0273,0.0468,0.9048,1470.011
1472516,0.0312,0.0507,0.9126,1472.516
1475003,0.0273,0.0585,0.9087,1475.003
1477518,0.0312,0.0507,0.897,1477.518
1480006,0.0351,0.0468,0.9087,1480.006
1482503,0.0351,0.0468,0.9126,1482.503
1485017,0.0273,0.0507,0.9126,1485.017
1487532,0.039,0.0507,0.9048,1487.532
1490007,0.0312,0.0468,0.9048,1490.007
1492504,0.0312,0.0585,0.9009,1492.504
1495011,0.0273,0.0507,0.9126,1495.011
1497513,0.0312,0.0429,0.9048,1497.513
